Headline,Content,Date,Link
iPhone Vs Samsung Debate Gets A Comic Twist In This Viral Video,"The video humorously highlights the differences between the two tech giants, leading to a flood of discussions about their features.","August 14, 2024",https://www.ndtv.com/offbeat/iphone-vs-samsung-debate-gets-a-comedic-twist-this-video-is-pure-gold-6335369
Explained: How Karnataka's Tungabhadra Dam Gate Washed Away,"Anticipating a potential threat from the Tungabhadra Reservoir in Karnataka's Vijayanagara district, the Andhra Pradesh government has issued a flood alert in low-lying areas of the Kurnool district.","August 13, 2024",https://www.ndtv.com/india-news/how-the-tungabhadra-dam-gate-was-swept-away-and-why-farmers-are-fearful-6326955
"Tripura Floods Caused Damages Worth Rs 15,000 Crore: Chief Minister","Tripura Chief Minister Manik Saha on Saturday said the unprecedented floods in the state have caused an estimated loss of Rs 15,000 crore, affecting infrastructure, agriculture, and other property.","August 24, 2024",https://www.ndtv.com/india-news/tripura-floods-caused-damages-worth-rs-15-000-crore-chief-minister-6410627
Bangladesh's Worst Floods Leave 5 Million Stranded Amid Political Turmoil,"About five million people in Bangladesh were stranded by floods in low-lying areas, as strong currents washed away river embankments.","August 24, 2024",https://www.ndtv.com/world-news/bangladeshs-worst-floods-leave-5-million-stranded-amid-political-turmoil-6406516
"11 dead, 14 Missing After Heavy Rains Trigger Floods In China: Report","Eleven people have been killed and 14 more are missing after heavy rain in recent days lashed China's northeastern province of Liaoning, state broadcaster CCTV reported Friday.","August 23, 2024",https://www.ndtv.com/world-news/11-dead-14-missing-after-heavy-rains-trigger-floods-in-china-report-6403237
Tripura Chief Minister Takes Aerial Survey As Flood Situation Improves,"The flood situation in Tripura, which witnessed catastrophic monsoon deluge for the first time in over three decades, slightly improved on Friday but vast areas including human habitations in urban and rural areas, still inundated.","August 23, 2024",https://www.ndtv.com/india-news/tripura-chief-minister-takes-aerial-survey-as-flood-situation-improves-6401938
"2 Dead, Nearly 3 Million Stranded In Deadly Bangladesh Floods","Relentless monsoon rains and flooding have stranded nearly three million people in Bangladesh and killed two, submerging vast areas and damaging homes and infrastructure, officials from the country's disaster management ministry said on Thursday.","August 23, 2024",https://www.ndtv.com/world-news/two-dead-nearly-three-million-stranded-in-bangladesh-due-to-floods-6400857
Tripura Floods: 7 Of Two Families Killed In landslides Due To Heavy Rain,"This increase follows the deaths of at least seven more people from two families, including three women and a child, who were killed in landslides. The state is experiencing its most severe monsoon flooding in over 30 years.","August 23, 2024",https://www.ndtv.com/india-news/tripura-floods-7-of-two-families-killed-in-landslides-due-to-heavy-rain-6397575
"19 Dead, 17 Lakh People Affected In Tripura Floods Fury","The flood situation in Tripura, which has been lashed by heavy rains over the last four days, remained grim on Thursday.","August 22, 2024",https://www.ndtv.com/india-news/tripura-floods-critical-19-dead-17-lakh-people-affected-6396548
"""Not Correct..."": Government On Reports India Dam Caused Bangladesh Floods","Flooding in the eastern districts of Bangladesh were not caused by the opening of a dam on the Gumti River in Tripura, the government clarified Thursday.","August 22, 2024",https://www.ndtv.com/india-news/tripura-floods-gumti-river-bangladesh-not-correct-government-on-reports-india-dam-caused-bangladesh-floods-6391337
"10 Dead, Several Missing After Flash Floods In Tripura","As many as 10 people have died and more than 34,000 have been displaced amid a worsening disaster situation in Tripura on Wednesday, officials have said.","August 22, 2024",https://www.ndtv.com/india-news/10-dead-several-missing-after-flash-floods-in-tripura-6388761
Why Experts Have Been Sent To 6 High-Risk Glacial Lakes In Arunachal Pradesh,"Two teams of experts have been sent to six high-risk glacial lakes in Arunachal for the first time to assess the possibility of glacial lake outburst floods (GLOF) and ways to access these water bodies for mitigation measures, official sources said.","August 21, 2024",https://www.ndtv.com/india-news/experts-sent-to-6-high-risk-glacial-lakes-in-arunachal-to-assess-flood-risk-6384947
"7 Dead, Thousands Affected Due To Flash Floods In Tripura",At least seven people have died in flash floods across Tripura after water levels of several rivers rose suddenly due to incessant rainfall for over 48 hours.,"August 20, 2024",https://www.ndtv.com/india-news/7-dead-thousands-affected-due-to-flash-floods-in-tripura-6379408
"Auto, School Bus Get Stuck In Waterlogged Delhi Underpass, 3 Rescued","The Minto Bridge underpass is infamous for waterlogging during monsoon. In July 2020, a man drowned after his mini-truck got stuck in the underpass.","August 20, 2024",https://www.ndtv.com/delhi-news/delhi-rain-auto-school-bus-get-stuck-in-waterlogged-minto-bridge-underpass-3-rescued-6376353
How Extreme Weather Is Leading To Rise In Child Marriages In Pakistan,"As monsoon rains were about to break over Pakistan, 14-year-old Shamila and her 13-year-old sister Amina were married off in exchange for money, a decision their parents made to help the family survive the threat of floods.","August 16, 2024",https://www.ndtv.com/world-news/how-extreme-weather-is-leading-to-rise-in-child-marriages-in-pakistan-6347952
iPhone Vs Samsung Debate Gets A Comic Twist In This Viral Video,"The video humorously highlights the differences between the two tech giants, leading to a flood of discussions about their features.","August 14, 2024",https://www.ndtv.com/offbeat/iphone-vs-samsung-debate-gets-a-comedic-twist-this-video-is-pure-gold-6335369
Explained: How Karnataka's Tungabhadra Dam Gate Washed Away,"Anticipating a potential threat from the Tungabhadra Reservoir in Karnataka's Vijayanagara district, the Andhra Pradesh government has issued a flood alert in low-lying areas of the Kurnool district.","August 13, 2024",https://www.ndtv.com/india-news/how-the-tungabhadra-dam-gate-was-swept-away-and-why-farmers-are-fearful-6326955
